team1,powerplay_runs_team1,powerplay_wickets_team1,team2,powerplay_runs_team2,powerplay_wickets_team2,venue,pitch_type,homeground_advantage,team1_toss_win,teampoint_diff,team1_win
6,46,0,11,30,2,18,1,1,1,-265,1
3,30,2,1,57,1,12,1,2,1,-869,0
7,24,2,9,40,1,2,1,1,0,463,0
4,31,1,12,65,1,17,1,2,0,-216,0
8,37,4,2,44,1,31,1,2,1,-250,0
11,41,1,7,28,3,3,1,1,0,-16,1
1,31,1,6,62,1,12,1,1,0,857,0
9,44,0,8,50,0,1,2,1,0,-296,0
4,45,0,7,33,3,32,-2,1,1,-108,1
11,48,1,12,62,0,3,1,1,0,-124,0
2,63,1,3,67,0,31,1,1,0,376,0
1,36,2,6,26,1,18,1,2,0,857,0
4,42,1,8,49,1,13,1,2,0,59,0
11,43,1,3,38,3,24,2,2,1,277,1
2,33,3,9,32,1,1,2,2,1,546,0
8,45,0,6,37,3,18,1,2,0,114,1
12,77,1,1,45,2,17,1,2,0,-468,1
9,40,2,4,44,2,1,2,1,0,-355,1
6,50,1,7,57,0,18,1,1,0,-281,0
3,70,0,12,46,1,24,2,1,0,-401,1
9,57,1,11,41,2,3,1,2,0,-447,1
8,32,2,1,38,0,12,1,2,0,-743,0
4,45,0,2,40,4,32,-2,1,0,-191,1
3,42,1,7,65,1,24,2,1,0,-293,0
2,37,3,4,28,1,31,1,1,1,191,0
11,20,3,8,29,6,13,1,2,0,151,1
6,42,1,3,41,1,24,2,2,0,12,1
9,31,2,1,18,1,12,1,2,0,-1039,0
7,57,0,2,42,1,2,1,1,0,-83,1
3,34,2,8,37,3,13,1,2,1,-126,1
12,40,2,6,45,2,18,1,2,0,389,0
2,49,1,1,34,1,12,1,2,0,-493,0
4,34,1,11,64,0,32,-2,1,1,-92,1
9,35,1,12,24,1,1,2,1,0,-571,1
3,42,2,8,67,1,24,2,1,0,-126,0
6,41,1,11,41,2,3,1,2,0,-265,1
1,47,0,4,43,1,32,-2,2,1,684,0
9,49,1,2,31,2,31,1,2,0,-546,1
8,35,2,6,43,0,13,1,1,0,114,1
11,43,1,3,29,3,3,1,1,0,277,0
7,48,1,12,38,4,2,1,1,0,-108,1
4,15,2,6,33,2,18,1,2,1,173,0
9,50,1,3,23,4,1,2,1,0,-170,1
8,49,1,7,79,1,2,1,2,1,-167,0
12,34,1,2,40,1,17,1,1,1,25,0
4,55,0,1,48,2,12,1,2,0,-684,1
11,50,0,2,52,0,3,1,1,1,-99,0
12,39,1,9,33,3,17,1,1,0,571,1
1,43,0,7,66,0,12,1,1,0,576,0
4,42,2,3,52,1,32,-2,1,1,185,1
8,62,0,12,49,2,26,1,2,0,-275,0
6,33,3,7,65,2,2,1,2,0,-281,0
11,32,1,9,26,3,1,2,2,1,447,1
12,43,1,3,42,0,22,1,1,0,401,1
1,32,2,8,87,2,26,1,2,0,743,0
2,39,2,11,57,0,31,1,1,0,99,0
12,30,1,7,34,3,22,1,1,1,108,1
4,41,2,8,40,1,32,-2,1,1,59,1
2,29,2,6,44,1,31,1,1,0,364,0
9,26,2,1,52,0,1,2,2,1,-1039,0
11,58,0,12,45,2,22,1,2,0,-124,1
4,23,4,7,54,1,2,1,2,0,-108,0
6,46,2,9,25,1,18,1,1,0,182,0
7,44,1,4,62,2,1,2,0,0,108,0
6,25,4,9,52,0,1,2,2,0,182,0
7,68,0,9,47,2,32,-2,0,0,463,1
4,56,0,7,45,2,32,-2,1,1,-108,1
4,46,2,9,53,0,32,-2,1,0,409,0
6,30,4,3,48,0,18,1,1,0,203,0
2,57,3,9,27,3,1,2,2,0,746,1
1,46,0,12,45,2,12,1,1,0,-852,1
7,44,2,3,46,1,2,1,1,0,715,1
4,37,2,11,45,1,14,-2,2,0,9,1
1,38,1,6,27,4,12,1,1,0,20,1
2,45,2,12,19,2,4,1,2,1,-478,1
11,60,1,9,29,2,14,-2,2,1,400,0
6,41,0,7,20,3,2,1,2,0,-512,1
4,54,1,3,50,2,24,2,2,0,260,0
9,56,1,1,44,2,1,2,2,0,-372,1
7,29,1,4,52,0,32,-2,2,1,455,0
2,45,3,12,38,1,17,1,2,0,-478,0
1,50,0,6,36,1,18,1,2,1,20,0
11,43,1,3,34,3,24,2,2,1,251,0
4,26,0,2,56,1,4,1,1,1,-337,0
12,43,2,6,48,2,18,1,2,0,872,1
1,23,0,7,54,2,2,1,2,1,-492,1
9,57,2,3,41,1,1,2,1,0,-149,0
11,58,0,1,62,1,12,1,2,1,28,0
2,45,0,7,42,2,2,1,2,1,-118,0
12,33,1,6,53,1,17,1,1,1,872,0
11,42,2,3,64,1,3,1,1,1,251,0
4,41,0,2,53,2,32,-2,1,0,-337,1
12,41,2,7,36,3,17,1,1,0,360,0
1,52,1,4,45,0,32,-2,2,1,-37,0
2,39,1,3,49,1,24,2,2,0,597,1
9,39,0,12,48,0,1,2,1,1,-1224,0
11,37,1,6,42,1,19,-1,2,0,48,0
7,28,1,1,48,0,12,1,2,0,492,1
2,44,2,3,61,1,4,1,1,1,597,0
12,50,1,9,40,0,17,1,1,1,1224,0
11,54,2,2,44,2,4,1,2,1,-346,1
3,43,0,9,49,3,24,2,1,0,149,1
12,46,0,4,48,1,32,-2,2,1,815,1
6,42,0,7,35,3,18,1,1,1,-512,1
3,38,2,1,40,0,24,2,2,1,-223,1
11,43,0,9,31,2,1,2,2,0,400,0
4,33,1,6,37,1,32,-2,1,1,57,0
11,56,2,2,48,1,19,-1,1,1,-346,1
1,33,0,3,61,1,12,1,1,1,223,0
7,42,0,12,53,1,2,1,1,0,-360,0
